MMSI	Speed (knots)	COG (degrees)	Destination	Ship type	Gross tonnage	Length (m)	Breadth (m)
636015204	10.1	64.3	Hamina	Cargo	3416	94.9	15.3
230182000	8.4	65.8	Hamina	Cargo	3978	1000.0	16.5
230601000	10.1	74.9	Hamina	Cargo	2280	82.6	12.3
636092755	9.2	74.6	Hamina	Cargo	8620	137.1	19.1
215058000	9.6	73.2	Hamina	Cargo	1905	87.9	11.4
236039000	9.9	74.6	Hamina	Cargo	8521	136.0	32.0
236029000	8.6	67.5	Hamina	Cargo	1985	82.5	12.5
259319000	9.9	74.7	Hamina	Tanker	9980	141.2	21.9
212552000	10.5	75.2	Hamina	Tanker	4896	118.6	16.4
325974000	8.4	74.9	Hamina	Tanker	6045	123.6	19.5
245137000	10.3	76.9	Hamina	Tanker	9056	140.2	22.2
235103736	7.9	66.8	Kotka	Cargo	1999	82.4	12.5
257033170	10.1	73.4	Kotka	Cargo	2301	82.5	12.4
375067000	10.8	73.5	Kotka	Cargo	6540	134.5	16.5
636016683	11.2	74.5	Kotka	Cargo	2862	94.7	13.4
246169000	11.5	65.2	Kotka	Cargo	2622	88.3	12.9
305198000	9.6	73.3	Kotka	Cargo	2548	89.0	12.5
440363000	10.3	74.5	Kronshtadt	Cargo	2984	90.0	15.4
259896000	10.8	79.8	Kunda	Cargo	5257	117.0	16.9
376593000	7.5	77.4	Kunda	Cargo	2528	90.0	12.5
230663000	7.7	74.5	Muuga	Cargo	3603	101.2	14.4
235009040	10.1	82.2	Muuga	Cargo	12192	141.4	22.5
246591000	9.8	63.2	Muuga	Cargo	1987	81.2	12.4
305929000	7.8	74.0	Muuga	Cargo	1513	82.3	11.3
235010600	8.7	73.9	Muuga	Cargo	5796	122.0	18.7
304010297	11.0	74.4	Muuga	Tanker	11935	144.1	23.0
247661000	9.8	109.6	Muuga	Tug	286	33.3	9.2
304050000	7.6	83.2	Paldiski	Cargo	1587	82.2	11.3
566579000	12.3	130.5	Paldiski	Cargo	3259	101.8	18.8
244557000	7.4	89.3	Paldiski	Cargo	3405	103.0	13.6
304010054	10.3	115.2	Paldiski	Cargo	2876	88.9	13.2
309175000	8.5	79.8	Paldiski	Cargo	24133	191.4	26.2
210319000	9.6	82.4	Paldiski	Cargo	2516	113.9	13.2
230025450	5.5	98.8	Paldiski	Tanker	27427	182.5	32.2
305274000	9.9	130.6	Paldiski	Tug	298	31.0	10.5
211718360	8.2	129.4	Paldiski	Tug	107	23.8	7.0
230044260	8.6	65.1	Porvoo	Cargo	852	64.2	10.5
218809000	10.9	75.4	Porvoo	Tanker	5440	108.0	16.8
273385070	12.3	75.1	Porvoo	Tanker	11935	144.1	23.2
245739000	4.5	72.5	Porvoo	Tanker	5006	120.8	16.4
636092319	9.9	74.0	Primorsk	Tanker	62647	250.0	44.0
244790509	6.8	76.5	Primorsk	Tanker	24120	184.0	28.0
244850900	8.0	75.1	Tallinn	Cargo	2224	88.0	12.5
273374820	7.6	113.8	Tallinn	Cargo	2561	88.0	12.5
247386800	8.9	79.5	Tallinn	Cargo	2840	89.7	13.6
230941170	11.0	77.1	Tallinn	Cargo	2281	89.0	11.8
230987660	7.8	79.1	Tallinn	Cargo	1472	79.0	10.9
375156000	8.4	90.1	Tallinn	Cargo	4115	100.6	16.2
511658000	8.9	87.9	Tallinn	Tanker	4606	129.3	16.5
246499000	9.6	125.0	Tallinn	Tanker	326	46.9	8.1
246650000	7.2	76.5	Tallinn	Tug	324	32.6	10.1
249207000	9.1	109.9	Tallinn	Tug	139	26.8	7.5
230961000	7.2	73.7	Tallinn	Tug	256	32.9	9.0
230649000	8.6	79.3	Tallinn	Tug	366	33.2	9.8
304833000	9.0	73.7	Valko Loviisa	Cargo	1616	82.5	11.5
636017466	11.2	67.4	Valko Loviisa	Cargo	3239	96.0	13.6
244130641	8.9	75.2	Valko Loviisa	Cargo	1978	80.0	12.2
538004934	10.0	63.1	Valko Loviisa	Cargo	2771	89.8	13.6
212360000	8.5	75.0	Valko Loviisa	Cargo	1307	74.9	10.5
212209000	8.8	76.4	Valko Loviisa	Cargo	1587	88.0	11.9
218801000	7.9	81.9	Valko Loviisa	Tug	196	28.4	8.5
305049000	9.8	69.8	Vyborg	Cargo	4446	111.0	14.5
247697000	10.0	66.3	Vyborg	Cargo	2396	82.5	12.5
236500000	9.0	71.3	Vyborg	Cargo	2409	82.5	12.5
210434000	9.7	75.1	Vyborg	Cargo	2416	84.9	12.8
